CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Monday, Jul 08 2019",,
Time: 02:59:46 PM,,
State,Delhi,
City,Delhi,
Station,"Rohini, Delhi - DPCC",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,27-06-2019T00:00:00Z 00:00,
To,03-07-2019T12:00:59Z 00:00,
,,
"Rohini, Delhi - DPCC",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
27-06-2019 00:00,27-06-2019 00:15,61
27-06-2019 00:15,27-06-2019 00:30,61
27-06-2019 00:30,27-06-2019 00:45,61
27-06-2019 00:45,27-06-2019 01:00,61
27-06-2019 01:00,27-06-2019 01:15,53
27-06-2019 01:15,27-06-2019 01:30,53
27-06-2019 01:30,27-06-2019 01:45,53
27-06-2019 01:45,27-06-2019 02:00,53
27-06-2019 02:00,27-06-2019 02:15,68
27-06-2019 02:15,27-06-2019 02:30,68
27-06-2019 02:30,27-06-2019 02:45,68
27-06-2019 02:45,27-06-2019 03:00,68
27-06-2019 03:00,27-06-2019 03:15,72
27-06-2019 03:15,27-06-2019 03:30,72
27-06-2019 03:30,27-06-2019 03:45,72
27-06-2019 03:45,27-06-2019 04:00,72
27-06-2019 04:00,27-06-2019 04:15,69
27-06-2019 04:15,27-06-2019 04:30,69
27-06-2019 04:30,27-06-2019 04:45,69
27-06-2019 04:45,27-06-2019 05:00,69
27-06-2019 05:00,27-06-2019 05:15,73
27-06-2019 05:15,27-06-2019 05:30,73
27-06-2019 05:30,27-06-2019 05:45,73
27-06-2019 05:45,27-06-2019 06:00,73
27-06-2019 06:00,27-06-2019 06:15,161
27-06-2019 06:15,27-06-2019 06:30,161
27-06-2019 06:30,27-06-2019 06:45,161
27-06-2019 06:45,27-06-2019 07:00,161
27-06-2019 07:00,27-06-2019 07:15,103
27-06-2019 07:15,27-06-2019 07:30,103
27-06-2019 07:30,27-06-2019 07:45,103
27-06-2019 07:45,27-06-2019 08:00,103
27-06-2019 08:00,27-06-2019 08:15,97
27-06-2019 08:15,27-06-2019 08:30,97
27-06-2019 08:30,27-06-2019 08:45,97
27-06-2019 08:45,27-06-2019 09:00,97
27-06-2019 09:00,27-06-2019 09:15,108
27-06-2019 09:15,27-06-2019 09:30,108
27-06-2019 09:30,27-06-2019 09:45,108
27-06-2019 09:45,27-06-2019 10:00,108
27-06-2019 10:00,27-06-2019 10:15,88
27-06-2019 10:15,27-06-2019 10:30,88
27-06-2019 10:30,27-06-2019 10:45,88
27-06-2019 10:45,27-06-2019 11:00,88
27-06-2019 11:00,27-06-2019 11:15,77
27-06-2019 11:15,27-06-2019 11:30,77
27-06-2019 11:30,27-06-2019 11:45,77
27-06-2019 11:45,27-06-2019 12:00,77
27-06-2019 12:00,27-06-2019 12:15,80
27-06-2019 12:15,27-06-2019 12:30,80
27-06-2019 12:30,27-06-2019 12:45,80
27-06-2019 12:45,27-06-2019 13:00,80
27-06-2019 13:00,27-06-2019 13:15,42
27-06-2019 13:15,27-06-2019 13:30,42
27-06-2019 13:30,27-06-2019 13:45,42
27-06-2019 13:45,27-06-2019 14:00,42
27-06-2019 14:00,27-06-2019 14:15,38
27-06-2019 14:15,27-06-2019 14:30,38
27-06-2019 14:30,27-06-2019 14:45,38
27-06-2019 14:45,27-06-2019 15:00,38
27-06-2019 15:00,27-06-2019 15:15,47
27-06-2019 15:15,27-06-2019 15:30,47
27-06-2019 15:30,27-06-2019 15:45,47
27-06-2019 15:45,27-06-2019 16:00,47
27-06-2019 16:00,27-06-2019 16:15,47
27-06-2019 16:15,27-06-2019 16:30,47
27-06-2019 16:30,27-06-2019 16:45,47
27-06-2019 16:45,27-06-2019 17:00,47
27-06-2019 17:00,27-06-2019 17:15,45
27-06-2019 17:15,27-06-2019 17:30,45
27-06-2019 17:30,27-06-2019 17:45,45
27-06-2019 17:45,27-06-2019 18:00,45
27-06-2019 18:00,27-06-2019 18:15,36
27-06-2019 18:15,27-06-2019 18:30,36
27-06-2019 18:30,27-06-2019 18:45,36
27-06-2019 18:45,27-06-2019 19:00,36
27-06-2019 19:00,27-06-2019 19:15,42
27-06-2019 19:15,27-06-2019 19:30,42
27-06-2019 19:30,27-06-2019 19:45,42
27-06-2019 19:45,27-06-2019 20:00,42
27-06-2019 20:00,27-06-2019 20:15,59
27-06-2019 20:15,27-06-2019 20:30,59
27-06-2019 20:30,27-06-2019 20:45,59
27-06-2019 20:45,27-06-2019 21:00,59
27-06-2019 21:00,27-06-2019 21:15,74
27-06-2019 21:15,27-06-2019 21:30,74
27-06-2019 21:30,27-06-2019 21:45,74
27-06-2019 21:45,27-06-2019 22:00,74
27-06-2019 22:00,27-06-2019 22:15,59
27-06-2019 22:15,27-06-2019 22:30,59
27-06-2019 22:30,27-06-2019 22:45,59
27-06-2019 22:45,27-06-2019 23:00,59
27-06-2019 23:00,27-06-2019 23:15,67
27-06-2019 23:15,27-06-2019 23:30,67
27-06-2019 23:30,27-06-2019 23:45,67
27-06-2019 23:45,28-06-2019 00:00,67
28-06-2019 00:00,28-06-2019 00:15,85
28-06-2019 00:15,28-06-2019 00:30,85
28-06-2019 00:30,28-06-2019 00:45,85
28-06-2019 00:45,28-06-2019 01:00,85
28-06-2019 01:00,28-06-2019 01:15,94
28-06-2019 01:15,28-06-2019 01:30,94
28-06-2019 01:30,28-06-2019 01:45,94
28-06-2019 01:45,28-06-2019 02:00,94
28-06-2019 02:00,28-06-2019 02:15,117
28-06-2019 02:15,28-06-2019 02:30,117
28-06-2019 02:30,28-06-2019 02:45,117
28-06-2019 02:45,28-06-2019 03:00,117
28-06-2019 03:00,28-06-2019 03:15,111
28-06-2019 03:15,28-06-2019 03:30,111
28-06-2019 03:30,28-06-2019 03:45,111
28-06-2019 03:45,28-06-2019 04:00,111
28-06-2019 04:00,28-06-2019 04:15,110
28-06-2019 04:15,28-06-2019 04:30,110
28-06-2019 04:30,28-06-2019 04:45,110
28-06-2019 04:45,28-06-2019 05:00,110
28-06-2019 05:00,28-06-2019 05:15,117
28-06-2019 05:15,28-06-2019 05:30,117
28-06-2019 05:30,28-06-2019 05:45,117
28-06-2019 05:45,28-06-2019 06:00,117
28-06-2019 06:00,28-06-2019 06:15,180
28-06-2019 06:15,28-06-2019 06:30,180
28-06-2019 06:30,28-06-2019 06:45,180
28-06-2019 06:45,28-06-2019 07:00,180
28-06-2019 07:00,28-06-2019 07:15,190
28-06-2019 07:15,28-06-2019 07:30,190
28-06-2019 07:30,28-06-2019 07:45,190
28-06-2019 07:45,28-06-2019 08:00,190
28-06-2019 08:00,28-06-2019 08:15,92
28-06-2019 08:15,28-06-2019 08:30,92
28-06-2019 08:30,28-06-2019 08:45,92
28-06-2019 08:45,28-06-2019 09:00,92
28-06-2019 09:00,28-06-2019 09:15,45
28-06-2019 09:15,28-06-2019 09:30,45
28-06-2019 09:30,28-06-2019 09:45,45
28-06-2019 09:45,28-06-2019 10:00,45
28-06-2019 10:00,28-06-2019 10:15,30
28-06-2019 10:15,28-06-2019 10:30,30
28-06-2019 10:30,28-06-2019 10:45,30
28-06-2019 10:45,28-06-2019 11:00,30
28-06-2019 11:00,28-06-2019 11:15,23
28-06-2019 11:15,28-06-2019 11:30,23
28-06-2019 11:30,28-06-2019 11:45,23
28-06-2019 11:45,28-06-2019 12:00,23
28-06-2019 12:00,28-06-2019 12:15,24
28-06-2019 12:15,28-06-2019 12:30,24
28-06-2019 12:30,28-06-2019 12:45,24
28-06-2019 12:45,28-06-2019 13:00,24
28-06-2019 13:00,28-06-2019 13:15,27
28-06-2019 13:15,28-06-2019 13:30,27
28-06-2019 13:30,28-06-2019 13:45,27
28-06-2019 13:45,28-06-2019 14:00,27
28-06-2019 14:00,28-06-2019 14:15,27
28-06-2019 14:15,28-06-2019 14:30,27
28-06-2019 14:30,28-06-2019 14:45,27
28-06-2019 14:45,28-06-2019 15:00,27
28-06-2019 15:00,28-06-2019 15:15,29
28-06-2019 15:15,28-06-2019 15:30,29
28-06-2019 15:30,28-06-2019 15:45,29
28-06-2019 15:45,28-06-2019 16:00,29
28-06-2019 16:00,28-06-2019 16:15,40
28-06-2019 16:15,28-06-2019 16:30,40
28-06-2019 16:30,28-06-2019 16:45,40
28-06-2019 16:45,28-06-2019 17:00,40
28-06-2019 17:00,28-06-2019 17:15,44
28-06-2019 17:15,28-06-2019 17:30,44
28-06-2019 17:30,28-06-2019 17:45,44
28-06-2019 17:45,28-06-2019 18:00,44
28-06-2019 18:00,28-06-2019 18:15,35
28-06-2019 18:15,28-06-2019 18:30,35
28-06-2019 18:30,28-06-2019 18:45,35
28-06-2019 18:45,28-06-2019 19:00,35
28-06-2019 19:00,28-06-2019 19:15,45
28-06-2019 19:15,28-06-2019 19:30,45
28-06-2019 19:30,28-06-2019 19:45,45
28-06-2019 19:45,28-06-2019 20:00,45
28-06-2019 20:00,28-06-2019 20:15,57
28-06-2019 20:15,28-06-2019 20:30,57
28-06-2019 20:30,28-06-2019 20:45,57
28-06-2019 20:45,28-06-2019 21:00,57
28-06-2019 21:00,28-06-2019 21:15,86
28-06-2019 21:15,28-06-2019 21:30,86
28-06-2019 21:30,28-06-2019 21:45,86
28-06-2019 21:45,28-06-2019 22:00,86
28-06-2019 22:00,28-06-2019 22:15,61
28-06-2019 22:15,28-06-2019 22:30,61
28-06-2019 22:30,28-06-2019 22:45,61
28-06-2019 22:45,28-06-2019 23:00,61
28-06-2019 23:00,28-06-2019 23:15,58
28-06-2019 23:15,28-06-2019 23:30,58
28-06-2019 23:30,28-06-2019 23:45,58
28-06-2019 23:45,29-06-2019 00:00,58
29-06-2019 00:00,29-06-2019 00:15,59
29-06-2019 00:15,29-06-2019 00:30,59
29-06-2019 00:30,29-06-2019 00:45,59
29-06-2019 00:45,29-06-2019 01:00,59
29-06-2019 01:00,29-06-2019 01:15,68
29-06-2019 01:15,29-06-2019 01:30,68
29-06-2019 01:30,29-06-2019 01:45,68
29-06-2019 01:45,29-06-2019 02:00,68
29-06-2019 02:00,29-06-2019 02:15,75
29-06-2019 02:15,29-06-2019 02:30,75
29-06-2019 02:30,29-06-2019 02:45,75
29-06-2019 02:45,29-06-2019 03:00,75
29-06-2019 03:00,29-06-2019 03:15,81
29-06-2019 03:15,29-06-2019 03:30,81
29-06-2019 03:30,29-06-2019 03:45,81
29-06-2019 03:45,29-06-2019 04:00,81
29-06-2019 04:00,29-06-2019 04:15,81
29-06-2019 04:15,29-06-2019 04:30,81
29-06-2019 04:30,29-06-2019 04:45,81
29-06-2019 04:45,29-06-2019 05:00,81
29-06-2019 05:00,29-06-2019 05:15,121
29-06-2019 05:15,29-06-2019 05:30,121
29-06-2019 05:30,29-06-2019 05:45,121
29-06-2019 05:45,29-06-2019 06:00,121
29-06-2019 06:00,29-06-2019 06:15,103
29-06-2019 06:15,29-06-2019 06:30,103
29-06-2019 06:30,29-06-2019 06:45,103
29-06-2019 06:45,29-06-2019 07:00,103
29-06-2019 07:00,29-06-2019 07:15,94
29-06-2019 07:15,29-06-2019 07:30,94
29-06-2019 07:30,29-06-2019 07:45,94
29-06-2019 07:45,29-06-2019 08:00,94
29-06-2019 08:00,29-06-2019 08:15,66
29-06-2019 08:15,29-06-2019 08:30,66
29-06-2019 08:30,29-06-2019 08:45,66
29-06-2019 08:45,29-06-2019 09:00,66
29-06-2019 09:00,29-06-2019 09:15,51
29-06-2019 09:15,29-06-2019 09:30,51
29-06-2019 09:30,29-06-2019 09:45,51
29-06-2019 09:45,29-06-2019 10:00,51
29-06-2019 10:00,29-06-2019 10:15,39
29-06-2019 10:15,29-06-2019 10:30,39
29-06-2019 10:30,29-06-2019 10:45,39
29-06-2019 10:45,29-06-2019 11:00,39
29-06-2019 11:00,29-06-2019 11:15,39
29-06-2019 11:15,29-06-2019 11:30,39
29-06-2019 11:30,29-06-2019 11:45,39
29-06-2019 11:45,29-06-2019 12:00,39
29-06-2019 12:00,29-06-2019 12:15,44
29-06-2019 12:15,29-06-2019 12:30,44
29-06-2019 12:30,29-06-2019 12:45,44
29-06-2019 12:45,29-06-2019 13:00,44
29-06-2019 13:00,29-06-2019 13:15,44
29-06-2019 13:15,29-06-2019 13:30,44
29-06-2019 13:30,29-06-2019 13:45,44
29-06-2019 13:45,29-06-2019 14:00,44
29-06-2019 14:00,29-06-2019 14:15,46
29-06-2019 14:15,29-06-2019 14:30,46
29-06-2019 14:30,29-06-2019 14:45,46
29-06-2019 14:45,29-06-2019 15:00,46
29-06-2019 15:00,29-06-2019 15:15,55
29-06-2019 15:15,29-06-2019 15:30,55
29-06-2019 15:30,29-06-2019 15:45,55
29-06-2019 15:45,29-06-2019 16:00,55
29-06-2019 16:00,29-06-2019 16:15,62
29-06-2019 16:15,29-06-2019 16:30,62
29-06-2019 16:30,29-06-2019 16:45,62
29-06-2019 16:45,29-06-2019 17:00,62
29-06-2019 17:00,29-06-2019 17:15,41
29-06-2019 17:15,29-06-2019 17:30,41
29-06-2019 17:30,29-06-2019 17:45,41
29-06-2019 17:45,29-06-2019 18:00,41
29-06-2019 18:00,29-06-2019 18:15,39
29-06-2019 18:15,29-06-2019 18:30,39
29-06-2019 18:30,29-06-2019 18:45,39
29-06-2019 18:45,29-06-2019 19:00,39
29-06-2019 19:00,29-06-2019 19:15,51
29-06-2019 19:15,29-06-2019 19:30,51
29-06-2019 19:30,29-06-2019 19:45,51
29-06-2019 19:45,29-06-2019 20:00,51
29-06-2019 20:00,29-06-2019 20:15,53
29-06-2019 20:15,29-06-2019 20:30,53
29-06-2019 20:30,29-06-2019 20:45,53
29-06-2019 20:45,29-06-2019 21:00,53
29-06-2019 21:00,29-06-2019 21:15,72
29-06-2019 21:15,29-06-2019 21:30,72
29-06-2019 21:30,29-06-2019 21:45,72
29-06-2019 21:45,29-06-2019 22:00,72
29-06-2019 22:00,29-06-2019 22:15,70
29-06-2019 22:15,29-06-2019 22:30,70
29-06-2019 22:30,29-06-2019 22:45,70
29-06-2019 22:45,29-06-2019 23:00,70
29-06-2019 23:00,29-06-2019 23:15,75
29-06-2019 23:15,29-06-2019 23:30,75
29-06-2019 23:30,29-06-2019 23:45,75
29-06-2019 23:45,30-06-2019 00:00,75
30-06-2019 00:00,30-06-2019 00:15,68
30-06-2019 00:15,30-06-2019 00:30,68
30-06-2019 00:30,30-06-2019 00:45,68
30-06-2019 00:45,30-06-2019 01:00,68
30-06-2019 01:00,30-06-2019 01:15,80
30-06-2019 01:15,30-06-2019 01:30,80
30-06-2019 01:30,30-06-2019 01:45,80
30-06-2019 01:45,30-06-2019 02:00,80
30-06-2019 02:00,30-06-2019 02:15,86
30-06-2019 02:15,30-06-2019 02:30,86
30-06-2019 02:30,30-06-2019 02:45,86
30-06-2019 02:45,30-06-2019 03:00,86
30-06-2019 03:00,30-06-2019 03:15,75
30-06-2019 03:15,30-06-2019 03:30,75
30-06-2019 03:30,30-06-2019 03:45,75
30-06-2019 03:45,30-06-2019 04:00,None
30-06-2019 04:00,30-06-2019 04:15,118
30-06-2019 04:15,30-06-2019 04:30,118
30-06-2019 04:30,30-06-2019 04:45,None
30-06-2019 04:45,30-06-2019 05:00,129
30-06-2019 05:00,30-06-2019 05:15,129
30-06-2019 05:15,30-06-2019 05:30,129
30-06-2019 05:30,30-06-2019 05:45,None
30-06-2019 05:45,30-06-2019 06:00,146
30-06-2019 06:00,30-06-2019 06:15,146
30-06-2019 06:15,30-06-2019 06:30,146
30-06-2019 06:30,30-06-2019 06:45,None
30-06-2019 06:45,30-06-2019 07:00,45
30-06-2019 07:00,30-06-2019 07:15,45
30-06-2019 07:15,30-06-2019 07:30,45
30-06-2019 07:30,30-06-2019 07:45,None
30-06-2019 07:45,30-06-2019 08:00,31
30-06-2019 08:00,30-06-2019 08:15,31
30-06-2019 08:15,30-06-2019 08:30,31
30-06-2019 08:30,30-06-2019 08:45,None
30-06-2019 08:45,30-06-2019 09:00,44
30-06-2019 09:00,30-06-2019 09:15,44
30-06-2019 09:15,30-06-2019 09:30,44
30-06-2019 09:30,30-06-2019 09:45,None
30-06-2019 09:45,30-06-2019 10:00,40
30-06-2019 10:00,30-06-2019 10:15,40
30-06-2019 10:15,30-06-2019 10:30,40
30-06-2019 10:30,30-06-2019 10:45,None
30-06-2019 10:45,30-06-2019 11:00,44
30-06-2019 11:00,30-06-2019 11:15,44
30-06-2019 11:15,30-06-2019 11:30,44
30-06-2019 11:30,30-06-2019 11:45,None
30-06-2019 11:45,30-06-2019 12:00,41
30-06-2019 12:00,30-06-2019 12:15,41
30-06-2019 12:15,30-06-2019 12:30,41
30-06-2019 12:30,30-06-2019 12:45,None
30-06-2019 12:45,30-06-2019 13:00,48
30-06-2019 13:00,30-06-2019 13:15,48
30-06-2019 13:15,30-06-2019 13:30,48
30-06-2019 13:30,30-06-2019 13:45,None
30-06-2019 13:45,30-06-2019 14:00,46
30-06-2019 14:00,30-06-2019 14:15,46
30-06-2019 14:15,30-06-2019 14:30,46
30-06-2019 14:30,30-06-2019 14:45,None
30-06-2019 14:45,30-06-2019 15:00,56
30-06-2019 15:00,30-06-2019 15:15,56
30-06-2019 15:15,30-06-2019 15:30,56
30-06-2019 15:30,30-06-2019 15:45,None
30-06-2019 15:45,30-06-2019 16:00,27
30-06-2019 16:00,30-06-2019 16:15,27
30-06-2019 16:15,30-06-2019 16:30,27
30-06-2019 16:30,30-06-2019 16:45,None
30-06-2019 16:45,30-06-2019 17:00,46
30-06-2019 17:00,30-06-2019 17:15,46
30-06-2019 17:15,30-06-2019 17:30,46
30-06-2019 17:30,30-06-2019 17:45,None
30-06-2019 17:45,30-06-2019 18:00,57
30-06-2019 18:00,30-06-2019 18:15,57
30-06-2019 18:15,30-06-2019 18:30,57
30-06-2019 18:30,30-06-2019 18:45,None
30-06-2019 18:45,30-06-2019 19:00,51
30-06-2019 19:00,30-06-2019 19:15,51
30-06-2019 19:15,30-06-2019 19:30,51
30-06-2019 19:30,30-06-2019 19:45,None
30-06-2019 19:45,30-06-2019 20:00,73
30-06-2019 20:00,30-06-2019 20:15,73
30-06-2019 20:15,30-06-2019 20:30,73
30-06-2019 20:30,30-06-2019 20:45,None
30-06-2019 20:45,30-06-2019 21:00,73
30-06-2019 21:00,30-06-2019 21:15,73
30-06-2019 21:15,30-06-2019 21:30,73
30-06-2019 21:30,30-06-2019 21:45,None
30-06-2019 21:45,30-06-2019 22:00,40
30-06-2019 22:00,30-06-2019 22:15,40
30-06-2019 22:15,30-06-2019 22:30,40
30-06-2019 22:30,30-06-2019 22:45,None
30-06-2019 22:45,30-06-2019 23:00,45
30-06-2019 23:00,30-06-2019 23:15,45
30-06-2019 23:15,30-06-2019 23:30,45
30-06-2019 23:30,30-06-2019 23:45,None
30-06-2019 23:45,01-07-2019 00:00,52
01-07-2019 00:00,01-07-2019 00:15,52
01-07-2019 00:15,01-07-2019 00:30,52
01-07-2019 00:30,01-07-2019 00:45,None
01-07-2019 00:45,01-07-2019 01:00,55
01-07-2019 01:00,01-07-2019 01:15,55
